Option,Value
JSON API,38
Meteor/DDP,35
Parse,23
Adonis,23
Express,23
Loopback,21
Feathers,18
WebAPI,13
Django,12
Websockets,9
Hapi,9
AWS API Gateway,9
CouchDB/Couchbase,8
Swagger,8
Rails,8
SocketIO,7
Serverless,6
Sails,6
Spring,6
Koa,5
Om Next,5
Breeze,4
Kinto,3
Hoodie,3
Deployd,2
Simperium,1
