Option,column name,column reference,total users,Plain JavaScript,ES6,CoffeeScript,TypeScript,Elm,ClojureScript,No Framework,React,Angular,Angular 2,Ember,Vue,Backbone,Redux,MobX,Relay,Custom REST API,Firebase,GraphQL,Apollo,Falcor,Horizon,Meteor,FeathersJS,DoneJS,MERN,MEAN,Mocha,Jasmine,Enzyme,Jest,Cucumber,Ava,Plain CSS,SASS/SCSS,LESS,CSS Modules,Aphrodite,Webpack,Grunt,Gulp,Browserify,Bower,Native Apps,React Native,Cordova,PhoneGap,NativeScript
column number,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
results column name,,,,B,C,D,E,F,G,I,J,K,L,M,N,O,R,S,T,W,X,Y,Z,AA,AB,AE,AF,AG,AH,AI,AL,AM,AN,AO,AP,AQ,AT,AU,AV,AW,AX,BA,BB,BC,BD,BE,BH,BI,BJ,BK,BL
results column reference,,,,results!B:B,results!C:C,results!D:D,results!E:E,results!F:F,results!G:G,results!I:I,results!J:J,results!K:K,results!L:L,results!M:M,results!N:N,results!O:O,results!R:R,results!S:S,results!T:T,results!W:W,results!X:X,results!Y:Y,results!Z:Z,results!AA:AA,results!AB:AB,results!AE:AE,results!AF:AF,results!AG:AG,results!AH:AH,results!AI:AI,results!AL:AL,results!AM:AM,results!AN:AN,results!AO:AO,results!AP:AP,results!AQ:AQ,results!AT:AT,results!AU:AU,results!AV:AV,results!AW:AW,results!AX:AX,results!BA:BA,results!BB:BB,results!BC:BC,results!BD:BD,results!BE:BE,results!BH:BH,results!BI:BI,results!BJ:BJ,results!BK:BK,results!BL:BL
Cucumber,AP,results!AP:AP,872,0,0.05,0.09,0.01,0.03,0.04,-0.03,0.06,0.02,0.01,0.09,-0.01,0.07,0.05,0.02,0.04,0.06,0.04,0.06,0.04,0.09,0.03,0.05,0.02,0.03,0.01,0.04,0.15,0.17,0.08,0.08,1,0.04,-0.01,0.08,0.05,0.02,0.01,0.05,0.03,0.04,0.05,0.03,0.06,0.05,0.05,0.03,0.01
Ava,AQ,results!AQ:AQ,367,-0.01,0.11,0.01,0.02,0.1,0.06,0,0.13,-0.05,-0.01,0.01,0.02,0,0.14,0.1,0.09,0.02,0.05,0.1,0.09,0.08,0.06,-0.01,0.06,0.04,0.1,-0.01,0.08,0,0.21,0.1,0.04,1,-0.01,-0.01,-0.02,0.1,0.16,0.13,-0.07,0,0.05,-0.09,0,0.11,-0.02,-0.02,0.01
Plain CSS,AT,results!AT:AT,6858,0.21,-0.03,-0.03,-0.03,-0.02,-0.02,0.18,-0.03,0.02,0,0.01,-0.01,0.04,-0.03,0,-0.03,0.05,0.04,-0.03,-0.02,-0.01,0.01,-0.01,0.01,0.01,0,0.04,-0.01,0,0,-0.02,-0.01,-0.01,1,-0.03,0.04,0,-0.01,-0.05,0.06,0,0.02,0.05,0.05,-0.01,0.03,0.04,0.02
SASS/SCSS,AU,results!AU:AU,6818,0.05,0.13,0.06,0.03,0.01,0.01,0.02,0.1,0.09,0.07,0.09,0.06,0.05,0.09,0,0,0.1,0.11,0.01,0,0.02,0,0.03,0,0,0.05,0.09,0.11,0.15,0.03,0.02,0.08,-0.01,-0.03,1,0.15,0.09,-0.02,0.12,0.09,0.24,0.11,0.12,0.02,0.05,0.06,0.06,0
LESS,AV,results!AV:AV,3457,0.04,0.03,0.06,0.05,0,0.01,-0.01,0.01,0.12,0.07,0.03,0.01,0.08,0,0.01,0,0.06,0.03,0,0.02,0.01,0,0.04,0,0.02,0.02,0.1,0.08,0.14,-0.01,0.01,0.05,-0.02,0.04,0.15,1,0.05,-0.01,0.02,0.15,0.07,0.06,0.09,0.04,0.02,0.09,0.11,0.03
CSS Modules,AW,results!AW:AW,1986,-0.03,0.11,0.01,-0.01,0.05,0.03,-0.02,0.19,-0.04,0.02,0.04,0.02,0.01,0.2,0.09,0.1,0.01,0.08,0.12,0.06,0.05,0.04,0.01,0.03,0.04,0.08,0.01,0.12,0.05,0.21,0.1,0.02,0.1,0,0.09,0.05,1,0.11,0.2,0.02,0.03,0.06,-0.01,0.05,0.14,0,0.01,0.04
Aphrodite,AX,results!AX:AX,107,-0.01,0.05,0.01,-0.01,0.06,0.04,-0.02,0.09,-0.02,0.01,0.02,0.02,-0.01,0.1,0.16,0.1,0,0.04,0.12,0.09,0.07,0.05,0.02,0.11,0.11,0.06,0,0.04,-0.01,0.13,0.13,0.01,0.16,-0.01,-0.02,-0.01,0.11,1,0.09,-0.04,-0.04,0,-0.05,0.02,0.11,0,-0.01,0.04
Webpack,BA,results!BA:BA,4658,-0.01,0.43,-0.02,0.07,0.08,0.06,-0.06,0.54,-0.09,0.03,0.01,0.08,0.02,0.51,0.12,0.11,0.14,0.12,0.14,0.06,0.05,0.04,0,0.04,0.01,0.15,0.03,0.33,0.17,0.28,0.16,0.05,0.13,-0.05,0.12,0.02,0.2,0.09,1,-0.08,0.03,0.08,-0.17,0.02,0.23,-0.04,-0.04,0.01
Grunt,BB,results!BB:BB,2574,0.09,-0.06,0.05,0.01,-0.06,-0.03,0.07,-0.09,0.17,0.06,0.06,-0.04,0.13,-0.12,-0.04,-0.02,0.05,0.01,-0.02,-0.03,-0.01,-0.03,0.02,-0.01,0.01,-0.01,0.13,0,0.11,-0.07,-0.04,0.03,-0.07,0.06,0.09,0.15,0.02,-0.04,-0.08,1,0.19,0.09,0.33,0.06,-0.03,0.09,0.1,0.05
Gulp,BC,results!BC:BC,5220,0.08,0.1,0.02,0.09,-0.04,-0.01,0.04,0.02,0.2,0.13,0.04,0.08,0.07,-0.01,-0.02,-0.03,0.08,0.1,-0.02,-0.03,0.02,-0.01,0.01,-0.01,0.02,0.04,0.17,0.08,0.13,-0.05,-0.02,0.04,0,0,0.24,0.07,0.03,-0.04,0.03,0.19,1,0.26,0.28,0.02,0.01,0.1,0.09,0.06
Browserify,BD,results!BD:BD,2805,0.07,0.15,0.04,0,0.01,0.03,0.06,0.14,0.03,0.03,0.08,0.09,0.1,0.08,0.01,0,0.08,0.09,0.02,-0.01,0.03,0.01,0.03,0.02,0.03,0.04,0.07,0.13,0.09,0.03,0.04,0.05,0.05,0.02,0.11,0.06,0.06,0,0.08,0.09,0.26,1,0.12,0.04,0.05,0.06,0.07,0.03
Bower,BE,results!BE:BE,2955,0.03,-0.11,0.08,0.03,-0.06,-0.03,0,-0.17,0.25,0.09,0.1,0.01,0.05,-0.19,-0.06,-0.04,0.03,0.07,-0.05,-0.03,-0.01,-0.01,0.05,-0.02,0.01,-0.03,0.14,-0.07,0.06,-0.14,-0.07,0.03,-0.09,0.05,0.12,0.09,-0.01,-0.05,-0.17,0.33,0.28,0.12,1,0.04,-0.05,0.12,0.11,0.05
Native Apps,BH,results!BH:BH,2758,0.04,0.02,0.04,0.05,0.03,0.03,0.04,0.04,0.02,0.05,0.05,0.02,0.04,0.03,0.02,0.04,0.11,0.07,0.05,0.01,0.02,0.03,0.02,0.01,0.01,0.03,0.06,0.05,0.05,0,0.04,0.06,0,0.05,0.02,0.04,0.05,0.02,0.02,0.06,0.02,0.04,0.04,1,0.19,0.1,0.09,0.08
React Native,BI,results!BI:BI,1198,-0.04,0.17,0.02,0.01,0.06,0.07,-0.04,0.33,-0.07,0,0.04,0.01,-0.01,0.29,0.12,0.14,0.05,0.13,0.2,0.12,0.08,0.09,0.07,0.07,0.05,0.12,0.01,0.15,0.05,0.18,0.16,0.05,0.11,-0.01,0.05,0.02,0.14,0.11,0.23,-0.03,0.01,0.05,-0.05,0.19,1,0.02,0,0.07
Cordova,BJ,results!BJ:BJ,1868,0.04,0.01,0.01,0.09,-0.03,-0.01,0.02,-0.07,0.17,0.13,0.02,0.02,0.04,-0.07,0.01,0,0.06,0.09,0.03,0.02,0.02,0.05,0.1,0.04,0.04,-0.01,0.12,0.02,0.08,-0.07,-0.03,0.05,-0.02,0.03,0.06,0.09,0,0,-0.04,0.09,0.1,0.06,0.12,0.1,0.02,1,0.75,0.09
PhoneGap,BK,results!BK:BK,1411,0.05,-0.02,0.02,0.05,-0.03,-0.01,0.04,-0.07,0.14,0.1,0.02,0.02,0.06,-0.07,0,0.01,0.04,0.07,0.03,0,0.02,0.04,0.06,0.02,0.02,0,0.1,0.01,0.07,-0.07,-0.03,0.03,-0.02,0.04,0.06,0.11,0.01,-0.01,-0.04,0.1,0.09,0.07,0.11,0.09,0,0.75,1,0.09
NativeScript,BL,results!BL:BL,186,0,0.02,0.02,0.14,-0.02,0,0,-0.01,0.06,0.15,0.01,0.01,0.02,0,0.03,0.03,0,0.07,0.04,0.05,0.04,0.07,0.05,0.07,0.08,0,0.08,0,0.02,-0.01,-0.01,0.01,0.01,0.02,0,0.03,0.04,0.04,0.01,0.05,0.06,0.03,0.05,0.08,0.07,0.09,0.09,1
