Option,I've never heard of it,"I've heard of it, and would like to learn it","I've heard of it, and am not interested","I've used it before, and would use it again","I've used it before, and would not use it again"
Redux,1173,3821,893,3184,234
Mobx,6527,1553,944,223,58
Relay,5423,2399,1279,142,62
