Option,column name,column reference,total users,Plain JavaScript,ES6,CoffeeScript,TypeScript,Elm,ClojureScript,No Framework,React,Angular,Angular 2,Ember,Vue,Backbone,Redux,MobX,Relay,Custom REST API,Firebase,GraphQL,Apollo,Falcor,Horizon,Meteor,FeathersJS,DoneJS,MERN,MEAN,Mocha,Jasmine,Enzyme,Jest,Cucumber,Ava,Plain CSS,SASS/SCSS,LESS,CSS Modules,Aphrodite,Webpack,Grunt,Gulp,Browserify,Bower,Native Apps,React Native,Cordova,PhoneGap,NativeScript
column number,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
results column name,,,,B,C,D,E,F,G,I,J,K,L,M,N,O,R,S,T,W,X,Y,Z,AA,AB,AE,AF,AG,AH,AI,AL,AM,AN,AO,AP,AQ,AT,AU,AV,AW,AX,BA,BB,BC,BD,BE,BH,BI,BJ,BK,BL
results column reference,,,,results!B:B,results!C:C,results!D:D,results!E:E,results!F:F,results!G:G,results!I:I,results!J:J,results!K:K,results!L:L,results!M:M,results!N:N,results!O:O,results!R:R,results!S:S,results!T:T,results!W:W,results!X:X,results!Y:Y,results!Z:Z,results!AA:AA,results!AB:AB,results!AE:AE,results!AF:AF,results!AG:AG,results!AH:AH,results!AI:AI,results!AL:AL,results!AM:AM,results!AN:AN,results!AO:AO,results!AP:AP,results!AQ:AQ,results!AT:AT,results!AU:AU,results!AV:AV,results!AW:AW,results!AX:AX,results!BA:BA,results!BB:BB,results!BC:BC,results!BD:BD,results!BE:BE,results!BH:BH,results!BI:BI,results!BJ:BJ,results!BK:BK,results!BL:BL
Apollo,Z,results!Z:Z,118,64,93,11,27,6,3,38,91,20,19,6,12,11,74,14,18,64,27,86,100,12,12,51,9,3,14,24,68,39,34,17,20,19,68,73,45,43,9,75,15,44,26,18,36,47,28,16,8
Falcor,AA,results!AA:AA,68,75,87,13,37,9,12,50,78,43,34,22,19,22,69,13,19,78,49,43,21,100,21,24,12,9,16,32,74,62,32,25,40,22,71,84,41,46,10,76,21,66,46,28,43,43,28,25,9
Horizon,AB,results!AB:AB,96,78,91,9,34,9,6,34,69,36,28,13,24,10,56,11,11,88,47,31,15,15,100,24,14,5,9,26,60,45,26,16,18,15,77,73,38,36,6,71,15,53,33,26,43,42,39,28,11
Meteor,AE,results!AE:AE,1019,78,82,9,19,3,2,42,61,32,17,10,13,14,36,4,2,75,27,11,6,2,2,100,3,1,6,32,49,41,11,5,13,4,73,77,42,23,2,50,30,58,34,38,32,20,31,22,4
FeathersJS,AF,results!AF:AF,84,65,82,7,15,6,7,43,68,25,21,14,30,14,55,18,8,80,33,20,13,10,15,35,100,13,13,20,61,42,20,14,17,15,79,75,38,33,13,70,23,51,40,24,32,38,36,21,12
DoneJS,AG,results!AG:AG,25,72,60,12,20,8,8,60,60,36,28,48,52,40,36,28,16,72,40,24,16,24,20,56,44,100,32,52,48,52,36,20,28,20,84,76,52,56,24,60,36,72,60,44,40,44,52,32,24
MERN,AH,results!AH:AH,395,80,95,8,19,7,3,49,95,29,14,7,12,13,72,7,5,88,32,14,4,3,2,17,3,2,100,39,74,50,30,12,11,13,73,84,41,37,4,86,25,65,39,24,35,32,18,14,2
MEAN,AI,results!AI:AI,2004,85,82,6,31,2,1,47,49,63,28,7,9,15,33,2,1,87,27,6,1,1,1,16,1,1,8,100,58,56,9,5,12,4,77,81,47,22,1,53,39,72,36,44,35,13,30,22,4
Mocha,AL,results!AL:AL,4314,80,90,6,23,5,3,46,67,31,14,9,9,16,51,4,3,87,21,8,2,1,1,12,1,0,7,27,100,62,21,8,14,6,73,78,41,27,2,68,27,60,36,28,32,18,21,15,2
Jasmine,AM,results!AM:AM,3729,82,85,7,28,4,2,46,57,41,20,8,8,16,42,3,2,87,22,6,1,1,1,11,1,0,5,30,72,100,14,9,16,4,73,81,46,24,1,61,33,64,35,35,33,15,24,18,2
Enzyme,AN,results!AN:AN,998,77,97,5,17,7,5,39,97,16,8,8,6,11,86,9,6,86,25,16,4,2,3,12,2,1,12,17,90,52,100,21,16,16,73,77,35,46,5,90,18,49,33,13,30,30,13,8,2
Jest,AO,results!AO:AO,436,76,96,6,19,9,6,44,93,21,12,11,9,14,79,9,11,83,26,20,5,4,3,11,3,1,11,21,81,73,48,100,19,13,70,78,39,39,7,86,19,52,39,17,37,37,14,11,1
Cucumber,AP,results!AP:AP,872,80,81,12,23,5,4,43,59,35,15,14,8,19,41,3,3,87,22,9,3,3,2,15,2,1,5,27,70,66,19,10,100,7,72,84,45,24,1,58,31,62,37,36,38,18,26,18,3
Ava,AQ,results!AQ:AQ,367,77,98,7,25,13,6,48,80,20,12,8,11,13,68,10,7,83,28,15,6,4,4,10,4,1,14,20,67,40,43,16,16,100,72,71,34,42,10,82,11,56,42,10,30,31,17,12,2
Plain CSS,AT,results!AT:AT,6858,84,73,5,20,3,2,53,49,32,13,7,9,13,33,2,1,81,19,5,1,1,1,11,1,0,4,22,46,40,11,4,9,4,100,72,38,21,1,49,29,56,31,33,31,13,21,16,2
SASS/SCSS,AU,results!AU:AU,6818,80,77,7,22,4,2,48,52,34,15,8,10,13,37,2,2,82,20,5,1,1,1,12,1,0,5,24,50,44,11,5,11,4,73,100,42,24,1,54,30,63,33,35,30,14,22,16,2
LESS,AV,results!AV:AV,3457,81,76,8,23,3,2,47,50,39,16,8,9,16,34,3,1,83,19,5,2,1,1,12,1,0,5,27,51,49,10,5,11,4,76,82,100,24,1,51,36,60,34,37,32,14,25,20,2
CSS Modules,AW,results!AW:AW,1986,77,83,6,20,5,3,45,67,28,15,9,10,13,53,5,4,81,23,10,3,2,2,12,1,1,7,23,58,45,23,9,11,8,73,81,42,100,3,69,29,59,35,31,34,22,20,16,3
Aphrodite,AX,results!AX:AX,107,75,95,8,19,13,7,39,93,21,17,11,13,8,79,25,13,81,31,30,10,7,6,17,10,6,16,21,63,36,49,30,12,34,71,65,31,62,100,92,11,36,31,10,37,47,21,12,7
Webpack,BA,results!BA:BA,4658,79,93,5,24,5,3,44,76,27,14,7,11,13,59,4,3,85,22,8,2,1,1,11,1,0,7,23,63,49,19,8,11,6,72,79,38,29,2,100,24,58,34,24,31,21,18,14,2
Grunt,BB,results!BB:BB,2574,85,70,8,21,2,1,53,42,44,17,9,7,19,25,1,1,82,19,4,1,1,1,12,1,0,4,30,46,48,7,3,11,2,78,80,49,23,0,43,100,71,37,56,34,11,26,21,3
Gulp,BC,results!BC:BC,5220,82,78,6,24,3,2,49,50,39,17,8,11,15,34,2,1,82,21,5,1,1,1,11,1,0,5,28,50,46,9,4,10,4,74,82,40,22,1,51,35,100,41,43,30,13,24,18,3
Browserify,BD,results!BD:BD,2805,84,84,7,21,4,3,52,60,34,15,10,13,17,40,3,1,84,23,6,1,1,1,12,1,1,6,26,56,46,12,6,11,6,75,81,41,25,1,56,34,75,100,40,32,16,24,19,3
Bower,BE,results!BE:BE,2955,81,67,9,23,2,1,47,37,48,18,11,10,15,21,1,1,81,21,3,1,1,1,13,1,0,3,30,41,45,4,3,11,1,77,81,43,21,0,38,49,77,38,100,32,10,27,21,3
Native Apps,BH,results!BH:BH,2758,81,75,7,24,4,3,50,53,32,16,9,10,15,36,3,2,86,22,7,2,1,1,12,1,0,5,26,50,44,11,6,12,4,77,75,40,24,1,52,32,57,33,35,100,23,26,20,4
React Native,BI,results!BI:BI,1198,75,93,7,22,7,4,42,92,23,14,9,9,12,69,7,6,84,31,17,5,2,3,17,3,1,11,22,66,46,25,14,13,10,72,79,40,36,4,80,24,57,37,25,52,100,22,15,5
Cordova,BJ,results!BJ:BJ,1868,82,75,6,28,3,2,49,42,47,22,8,10,15,28,3,2,84,25,6,2,1,2,17,2,1,4,32,49,48,7,3,12,3,76,79,46,21,1,46,35,66,35,43,39,14,100,69,5
PhoneGap,BK,results!BK:BK,1411,84,72,7,26,2,2,52,41,47,21,8,10,17,26,2,2,83,24,6,1,1,2,16,1,1,4,32,47,48,6,3,11,3,78,79,49,23,1,45,38,66,37,44,39,13,91,100,5
NativeScript,BL,results!BL:BL,186,78,80,9,61,1,2,48,45,51,50,9,11,16,33,5,4,80,36,12,5,3,6,22,5,3,5,46,48,48,9,3,12,5,78,73,46,33,4,54,42,75,41,48,56,30,46,38,100
