Option,I've never heard of it,"I've heard of it, and would like to learn it","I've heard of it, and am not interested","I've used it before, and would use it again","I've used it before, and would not use it again"
Meteor,975,2530,4074,1019,707
FeathersJS,7386,615,1164,84,56
DoneJS,8178,221,843,25,38
MERN,7499,573,774,395,64
MEAN,2376,1332,2544,2004,1049
