Option,I've never heard of it,"I've heard of it, and would like to learn it","I've heard of it, and am not interested","I've used it before, and would use it again","I've used it before, and would not use it again"
Plain JavaScript,112,142,139,4216,720
ES6,69,979,120,4095,65
CoffeeScript,52,374,3158,303,1441
TypeScript,97,2055,1782,1144,250
Elm,1759,1933,1358,234,44
ClojureScript,1213,1213,2714,124,64
