Option,Value
Vuex,154
Flux,87
RxJS,42
Alt JS,31
NGRX,30
Elm,26
Reflux,24
Ember Data,20
Meteor,18
Cycle JS,17
Cerebral,13
Falcor,13
Baobab,8
Nuclear,7
Choo,6
Fluxible,4
Refetch,2
