Option,Value
Aurelia,347
Meteor/Blaze,206
Knockout,200
Cycle,159
jQuery,110
Polymer,109
Mithril,109
Riot,105
Sencha/ExtJS,79
Marionette,41
Ractive,32
Elm,31
Inferno,28
Dojo,24
Ampersand,23
Preact,17
Kendo,16
YUI,13
Web Components,11
CanJS,10
Spine,5
JavaScriptMVC,3
