Option,"Never heard of it","Heard of it, would like to learn","Heard of it, not interested","Used it before, would use again","Used it before, would not use again"
Native Apps,452,3631,1947,2758,517
React Native,730,5640,1626,1198,111
Cordova,1328,1909,2856,1868,1344
PhoneGap,1103,1517,3602,1411,1672
NativeScript,4522,2147,2313,186,137
