Option,"Never heard of it","Heard of it, would like to learn","Heard of it, not interested","Used it before, would use again","Used it before, would not use again"
Plain JavaScript,213,281,242,7364,1206
ES6,170,1938,205,6886,106
CoffeeScript,109,753,5618,540,2285
TypeScript,222,3590,3158,1937,398
Elm,3569,3104,2246,325,61
ClojureScript,2479,2028,4526,184,88
