Option,"Never heard of it","Heard of it, would like to learn","Heard of it, not interested","Used it before, would use again","Used it before, would not use again"
REST API,371,822,261,7393,458
Firebase,2180,3164,2009,1650,302
GraphQL,3293,4178,1314,465,55
Apollo,7464,1056,643,118,24
Falcor,6576,1564,1064,68,33
Horizon,7811,892,491,96,15
