Option,"Never heard of it","Heard of it, would like to learn","Heard of it, not interested","Used it before, would use again","Used it before, would not use again"
Webpack,857,2656,763,4658,371
Grunt,164,840,1790,2574,3937
Gulp,211,1180,999,5220,1695
Browserify,771,1861,2207,2805,1661
